2024-12-18 00:26:57.403 MSK [6892] СООБЩЕНИЕ:  начата контрольная точка: time
2024-12-18 00:26:59.544 MSK [6892] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 19 (0.1%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=2.114 сек., синхр.=0.012 сек., всего=2.141 сек.; синхронизировано_файлов=7, самая_долгая_синхр.=0.006 сек., средняя=0.002 сек.; расстояние=39 kB, ожидалось=3351 kB; lsn=0/1A245E0, lsn redo=0/1A24588
2024-12-18 00:36:57.551 MSK [6892] СООБЩЕНИЕ:  начата контрольная точка: time
2024-12-18 00:37:05.207 MSK [6892] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 69 (0.4%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=7.569 сек., синхр.=0.070 сек., всего=7.656 сек.; синхронизировано_файлов=59, самая_долгая_синхр.=0.006 сек., средняя=0.002 сек.; расстояние=258 kB, ожидалось=3041 kB; lsn=0/1A64E50, lsn redo=0/1A64DF8
2024-12-18 20:45:32.233 MSK [15252] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2024-12-18 20:46:12.711 MSK [13520] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2024-12-18 20:46:12.711 MSK [7148] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2024-12-18 20:46:12.726 MSK [22372] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2024-12-18 20:59:47.009 MSK [18692] СООБЩЕНИЕ:  работа системы БД была прервана; последний момент работы: 2024-12-18 00:37:05 MSK
2024-12-18 20:59:47.534 MSK [18692] СООБЩЕНИЕ:  система БД была остановлена нештатно; производится автоматическое восстановление
2024-12-18 20:59:47.538 MSK [18692] СООБЩЕНИЕ:  запись REDO начинается со смещения 0/1A64DF8
2024-12-18 20:59:47.538 MSK [18692] СООБЩЕНИЕ:  неверная длина записи в позиции 0/1A64F00: ожидалось минимум 24, получено 0
2024-12-18 20:59:47.538 MSK [18692] СООБЩЕНИЕ:  записи REDO обработаны до смещения 0/1A64EC8, нагрузка системы: CPU: пользов.: 0.00 с, система: 0.00 с, прошло: 0.00 с
2024-12-18 20:59:47.544 MSK [6828] СООБЩЕНИЕ:  начата контрольная точка: end-of-recovery immediate wait
2024-12-18 20:59:47.557 MSK [6828] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 3 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.003 сек., синхр.=0.003 сек., всего=0.016 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.002 сек., средняя=0.002 сек.; расстояние=0 kB, ожидалось=0 kB; lsn=0/1A64F00, lsn redo=0/1A64F00
2024-12-18 20:59:50.712 MSK [16528] СООБЩЕНИЕ:  работа системы БД была прервана; последний момент работы: 2024-12-18 20:59:47 MSK
2024-12-18 20:59:51.147 MSK [16528] СООБЩЕНИЕ:  система БД была остановлена нештатно; производится автоматическое восстановление
2024-12-18 20:59:51.150 MSK [16528] СООБЩЕНИЕ:  неверная длина записи в позиции 0/1A64F78: ожидалось минимум 24, получено 0
2024-12-18 20:59:51.150 MSK [16528] СООБЩЕНИЕ:  данные REDO не требуются
2024-12-18 20:59:51.156 MSK [1612] СООБЩЕНИЕ:  начата контрольная точка: end-of-recovery immediate wait
2024-12-18 20:59:51.167 MSK [1612] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 3 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.003 сек., синхр.=0.003 сек., всего=0.015 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.002 сек., средняя=0.002 сек.; расстояние=0 kB, ожидалось=0 kB; lsn=0/1A64F78, lsn redo=0/1A64F78
2024-12-18 20:59:53.947 MSK [14588] СООБЩЕНИЕ:  работа системы БД была прервана; последний момент работы: 2024-12-18 20:59:51 MSK
2024-12-18 20:59:54.380 MSK [14588] СООБЩЕНИЕ:  система БД была остановлена нештатно; производится автоматическое восстановление
2024-12-18 20:59:54.383 MSK [14588] СООБЩЕНИЕ:  неверная длина записи в позиции 0/1A64FF0: ожидалось минимум 24, получено 0
2024-12-18 20:59:54.383 MSK [14588] СООБЩЕНИЕ:  данные REDO не требуются
2024-12-18 20:59:54.390 MSK [8576] СООБЩЕНИЕ:  начата контрольная точка: end-of-recovery immediate wait
2024-12-18 20:59:54.401 MSK [8576] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 3 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.003 сек., синхр.=0.002 сек., всего=0.015 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=0 kB, ожидалось=0 kB; lsn=0/1A64FF0, lsn redo=0/1A64FF0
2024-12-18 20:59:56.956 MSK [10280] СООБЩЕНИЕ:  работа системы БД была прервана; последний момент работы: 2024-12-18 20:59:54 MSK
2024-12-18 20:59:57.384 MSK [10280] СООБЩЕНИЕ:  система БД была остановлена нештатно; производится автоматическое восстановление
2024-12-18 20:59:57.387 MSK [10280] СООБЩЕНИЕ:  неверная длина записи в позиции 0/1A65068: ожидалось минимум 24, получено 0
2024-12-18 20:59:57.387 MSK [10280] СООБЩЕНИЕ:  данные REDO не требуются
2024-12-18 20:59:57.394 MSK [14360] СООБЩЕНИЕ:  начата контрольная точка: end-of-recovery immediate wait
2024-12-18 20:59:57.405 MSK [14360] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 3 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.004 сек., синхр.=0.002 сек., всего=0.015 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.002 сек., средняя=0.001 сек.; расстояние=0 kB, ожидалось=0 kB; lsn=0/1A65068, lsn redo=0/1A65068
2024-12-18 20:59:59.691 MSK [18276] СООБЩЕНИЕ:  работа системы БД была прервана; последний момент работы: 2024-12-18 20:59:57 MSK
2024-12-18 21:00:00.124 MSK [18276] СООБЩЕНИЕ:  система БД была остановлена нештатно; производится автоматическое восстановление
2024-12-18 21:00:00.128 MSK [18276] СООБЩЕНИЕ:  неверная длина записи в позиции 0/1A650E0: ожидалось минимум 24, получено 0
2024-12-18 21:00:00.128 MSK [18276] СООБЩЕНИЕ:  данные REDO не требуются
2024-12-18 21:00:00.134 MSK [240] СООБЩЕНИЕ:  начата контрольная точка: end-of-recovery immediate wait
2024-12-18 21:00:00.144 MSK [240] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 3 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.003 сек., синхр.=0.002 сек., всего=0.014 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=0 kB, ожидалось=0 kB; lsn=0/1A650E0, lsn redo=0/1A650E0
